cohort_id,covariate_id,mean,sd,database_id
7361,1308842410,-0.143,NA,MDCD
7361,1308842412,-0.143,NA,MDCD
7361,1309204410,-0.143,NA,MDCD
7361,1309944410,-0.143,NA,MDCD
7361,1309944412,-0.143,NA,MDCD
7361,1309944413,-0.143,NA,MDCD
7361,1310149410,-0.143,NA,MDCD
7361,1310149412,-0.143,NA,MDCD
7361,1314002410,-0.143,NA,MDCD
7361,1314924410,-0.143,NA,MDCD
7361,1315411410,-0.143,NA,MDCD
7361,1315942410,-0.143,NA,MDCD
7361,1318011410,-0.143,NA,MDCD
7361,1318137410,-0.143,NA,MDCD
7361,1318137412,-0.143,NA,MDCD
7361,1318137413,-0.143,NA,MDCD
7361,1318853410,-0.143,NA,MDCD
7361,1318853412,-0.143,NA,MDCD
7361,1321341410,0.343,0.594,MDCD
7361,1321341412,0.343,0.594,MDCD
7361,1321341413,-0.143,NA,MDCD
7361,1322184410,-0.143,NA,MDCD
7361,1322184412,-0.143,NA,MDCD
7361,1322184413,-0.143,NA,MDCD
7361,1326303410,-0.143,NA,MDCD
7361,1326303412,-0.143,NA,MDCD
7361,1326303413,-0.143,NA,MDCD
7361,1332418410,-0.143,NA,MDCD
7361,1332418412,-0.143,NA,MDCD
7361,1332418413,-0.143,NA,MDCD
7361,1337620410,-0.143,NA,MDCD
7361,1337860410,-0.143,NA,MDCD
7361,1338005410,-0.143,NA,MDCD
7361,1338005412,-0.143,NA,MDCD
7361,1341149410,-0.143,NA,MDCD
7361,1341149412,-0.143,NA,MDCD
7361,1343039410,-0.143,NA,MDCD
7361,1343916410,0.257,0.514,MDCD
7361,1343916412,0.229,0.485,MDCD
7361,1343916413,-0.143,NA,MDCD
7361,1344143410,0.143,0.383,MDCD
7361,1344143412,-0.143,NA,MDCD
7361,1344143413,-0.143,NA,MDCD
7361,1344381410,-0.143,NA,MDCD
7361,1346823410,-0.143,NA,MDCD
7361,1346823412,-0.143,NA,MDCD
7361,1351557410,-0.143,NA,MDCD
7361,1353766410,0.171,0.42,MDCD
7361,1353766412,0.171,0.42,MDCD
7361,1353766413,-0.143,NA,MDCD
7361,1353776410,-0.143,NA,MDCD
7361,1353776412,-0.143,NA,MDCD
7361,1356018410,-0.143,NA,MDCD
7361,1359548410,-0.143,NA,MDCD
7361,1367268410,-0.143,NA,MDCD
7361,1367571410,-0.143,NA,MDCD
7361,1367571412,-0.143,NA,MDCD
7361,1378382410,-0.143,NA,MDCD
7361,1386670410,-0.143,NA,MDCD
7361,1386670412,-0.143,NA,MDCD
7361,1386670413,-0.143,NA,MDCD
7361,1386957410,-0.143,NA,MDCD
7361,1386957412,-0.143,NA,MDCD
7361,1387104410,-0.143,NA,MDCD
7361,1388796410,-0.143,NA,MDCD
7361,1396012410,-0.143,NA,MDCD
7361,1396131410,-0.143,NA,MDCD
7361,1396131412,-0.143,NA,MDCD
7361,1397599410,-0.143,NA,MDCD
7361,1398399410,-0.143,NA,MDCD
7361,1436169410,-0.143,NA,MDCD
7361,1436169412,-0.143,NA,MDCD
7361,1436678410,-0.143,NA,MDCD
7361,1501700410,-0.143,NA,MDCD
7361,1501700412,-0.143,NA,MDCD
7361,1503297410,0.2,0.454,MDCD
7361,1503297412,0.143,0.383,MDCD
7361,1503297413,-0.143,NA,MDCD
7361,1506270410,0.343,0.594,MDCD
7361,1506270412,0.286,0.542,MDCD
7361,1506270413,0.2,0.454,MDCD
7361,1510813410,-0.143,NA,MDCD
7361,1510813412,-0.143,NA,MDCD
7361,1512480410,-0.143,NA,MDCD
7361,1518254410,0.314,0.569,MDCD
7361,1518254412,0.171,0.42,MDCD
7361,1545958410,-0.143,NA,MDCD
7361,1545958412,-0.143,NA,MDCD
7361,1545958413,-0.143,NA,MDCD
7361,1550023410,0.2,0.454,MDCD
7361,1550023412,0.143,0.383,MDCD
7361,1550023413,-0.143,NA,MDCD
7361,1550557410,0.143,0.383,MDCD
7361,1550557412,0.143,0.383,MDCD
7361,1550557413,-0.143,NA,MDCD
7361,1555120410,-0.143,NA,MDCD
7361,1555120412,-0.143,NA,MDCD
7361,1555120413,-0.143,NA,MDCD
7361,1560524410,0.829,0.923,MDCD
7361,1560524412,0.829,0.923,MDCD
7361,1560524413,0.343,0.594,MDCD
7361,1580747410,-0.143,NA,MDCD
7361,1580747412,-0.143,NA,MDCD
7361,1596977410,0.429,0.664,MDCD
7361,1596977412,0.429,0.664,MDCD
7361,1596977413,-0.143,NA,MDCD
7361,1597756410,-0.143,NA,MDCD
7361,1597756412,-0.143,NA,MDCD
7361,1597756413,-0.143,NA,MDCD
7361,1703653410,-0.143,NA,MDCD
7361,1703653412,-0.143,NA,MDCD
7361,1703687410,-0.143,NA,MDCD
7361,1703687412,-0.143,NA,MDCD
7361,1707164410,-0.143,NA,MDCD
7361,1707164412,-0.143,NA,MDCD
7361,1707164413,-0.143,NA,MDCD
7361,1707687410,-0.143,NA,MDCD
7361,1709170410,0.343,0.594,MDCD
7361,1709170412,0.314,0.569,MDCD
7361,1709170413,-0.143,NA,MDCD
7361,1713332410,-0.143,NA,MDCD
7361,1716903410,-0.143,NA,MDCD
7361,1716903412,-0.143,NA,MDCD
7361,1717327410,0.143,0.383,MDCD
7361,1717327412,0.143,0.383,MDCD
7361,1717327413,-0.143,NA,MDCD
7361,1734104410,0.286,0.542,MDCD
7361,1734104412,0.2,0.454,MDCD
7361,1734104413,-0.143,NA,MDCD
7361,1741122410,0.486,0.707,MDCD
7361,1741122412,0.486,0.707,MDCD
7361,1741122413,0.314,0.569,MDCD
7361,1742253410,0.257,0.514,MDCD
7361,1742253412,0.2,0.454,MDCD
7361,1742253413,-0.143,NA,MDCD
7361,1746114410,0.486,0.707,MDCD
7361,1746114412,0.486,0.707,MDCD
7361,1746114413,0.314,0.569,MDCD
7361,1748975410,-0.143,NA,MDCD
7361,1748975412,-0.143,NA,MDCD
7361,1749008410,0.229,0.485,MDCD
7361,1749008412,-0.143,NA,MDCD
7361,1749008413,-0.143,NA,MDCD
7361,1750087410,-0.143,NA,MDCD
7361,1754994410,-0.143,NA,MDCD
7361,1754994412,-0.143,NA,MDCD
7361,1754994413,-0.143,NA,MDCD
7361,1756831410,-0.143,NA,MDCD
7361,1756831412,-0.143,NA,MDCD
7361,1759842410,-0.143,NA,MDCD
7361,1771162410,-0.143,NA,MDCD
7361,1774470410,0.2,0.454,MDCD
7361,1774470412,-0.143,NA,MDCD
7361,1774470413,-0.143,NA,MDCD
7361,1777087410,-0.143,NA,MDCD
7361,1777087412,-0.143,NA,MDCD
7361,1777087413,-0.143,NA,MDCD
7361,1777806410,0.143,0.383,MDCD
7361,1777806412,-0.143,NA,MDCD
7361,1790812410,-0.143,NA,MDCD
7361,1790812412,-0.143,NA,MDCD
7361,1790812413,-0.143,NA,MDCD
7361,1796458410,-0.143,NA,MDCD
7361,1797513410,0.143,0.383,MDCD
7361,1797513412,0.143,0.383,MDCD
7361,1797513413,-0.143,NA,MDCD
7361,1836241410,0.143,0.383,MDCD
7361,1836241412,0.143,0.383,MDCD
7361,1836241413,-0.143,NA,MDCD
7361,2006975502,0.4,0.641,MDCD
7361,2006975504,0.314,0.569,MDCD
7361,2007914502,-0.143,NA,MDCD
7361,2007914504,-0.143,NA,MDCD
7361,2008358502,-0.143,NA,MDCD
7361,2008358504,-0.143,NA,MDCD
7361,2103014502,-0.143,NA,MDCD
7361,2108162502,-0.143,NA,MDCD
7361,2108162504,-0.143,NA,MDCD
7361,2108227502,-0.143,NA,MDCD
7361,2110444502,-0.143,NA,MDCD
7361,2211794502,-0.143,NA,MDCD
7361,2211851502,-0.143,NA,MDCD
7361,2212964502,-0.143,NA,MDCD
7361,2212964504,-0.143,NA,MDCD
7361,2213560502,0.343,0.594,MDCD
7361,2213560504,0.143,0.383,MDCD
7361,2314018502,-0.143,NA,MDCD
7361,2314018504,-0.143,NA,MDCD
7361,2314047502,-0.143,NA,MDCD
7361,2314049502,0.971,1,MDCD
7361,2314049504,0.943,0.985,MDCD
7361,2514438502,0.286,0.542,MDCD
7361,2614772602,-0.143,NA,MDCD
7361,2614773602,-0.143,NA,MDCD
7361,2614875602,-0.143,NA,MDCD
7361,2615154602,-0.143,NA,MDCD
7361,2615154604,-0.143,NA,MDCD
7361,2615155602,-0.143,NA,MDCD
7361,2615155604,-0.143,NA,MDCD
7361,2615249602,-0.143,NA,MDCD
7361,2615756602,-0.143,NA,MDCD
7361,2615756604,-0.143,NA,MDCD
7361,2723804502,-0.143,NA,MDCD
7361,2723804504,-0.143,NA,MDCD
7361,2749934502,-0.143,NA,MDCD
7361,2793113502,-0.143,NA,MDCD
7361,3000093702,-0.143,NA,MDCD
7361,3000093704,-0.143,NA,MDCD
7361,3000127702,-0.143,NA,MDCD
7361,3000337702,-0.143,NA,MDCD
7361,3000348702,0.657,0.822,MDCD
7361,3000348704,0.486,0.707,MDCD
7361,3000494702,0.371,0.618,MDCD
7361,3000494704,0.171,0.42,MDCD
7361,3000515702,-0.143,NA,MDCD
7361,3000515704,-0.143,NA,MDCD
7361,3000520702,-0.143,NA,MDCD
7361,3000520704,-0.143,NA,MDCD
7361,3000593702,-0.143,NA,MDCD
7361,3000620702,-0.143,NA,MDCD
7361,3000769702,0.143,0.383,MDCD
7361,3000769704,-0.143,NA,MDCD
