cohortId,task,checksum,timeStamp,comparatorId
7361,runBreakdownIndexEvents,3e79f89c1b6d59013d19b5a0d899453f,2020-03-28T08:51:33Z,NA
7362,runBreakdownIndexEvents,ac178c8f7f888dd9f2ca5c61c5bdfe90,2020-03-28T08:51:33Z,NA
7370,runBreakdownIndexEvents,f4a873182b5d713b85ebaea9c91d2549,2020-03-28T08:51:33Z,NA
7464,runBreakdownIndexEvents,54245bb17609b636c3d733e56cf8ecf7,2020-03-28T08:51:33Z,NA
7364,runBreakdownIndexEvents,03a681492ac62c76872b645c614fda55,2020-03-28T08:51:33Z,NA
14717,runIncidenceRate,ae3498e0484d2205c4af03e40b77b326,2020-03-28T08:52:18Z,NA
14867,runIncidenceRate,eb969711a46a33c4db70bd1a7a4f1be1,2020-03-28T08:52:18Z,NA
7396,runIncidenceRate,6c817b5690ed843bf21a68861ebf0613,2020-03-28T08:52:18Z,NA
7398,runIncidenceRate,8710563ff5aa8f599321da088fc586a3,2020-03-28T08:52:18Z,NA
7382,runIncidenceRate,4866ddaca6fc34709cb22ba179ba71db,2020-03-28T08:52:18Z,NA
7374,runIncidenceRate,df4abfcd3d59a6896a47d839090084fe,2020-03-28T08:52:18Z,NA
7381,runIncidenceRate,91bf9b1f1b23e5b8ce95d91358c90b7a,2020-03-28T08:52:18Z,NA
7400,runIncidenceRate,1bbc74563344a4b47aeb9eedfa6475e6,2020-03-28T08:52:18Z,NA
7369,runIncidenceRate,c09e26cee3e5d2532156548ee62cf419,2020-03-28T08:52:18Z,NA
7367,runIncidenceRate,fe581221c3d08dea4b80399c7ceacd5c,2020-03-28T08:52:18Z,NA
7377,runIncidenceRate,8902e2bfb1c3a776a151289cb46cae7f,2020-03-28T08:52:18Z,NA
7399,runIncidenceRate,a82ad01c6e66238b8a3889f46f1499d6,2020-03-28T08:52:18Z,NA
7404,runIncidenceRate,dbaea00721ca1036190f8dffb86762c7,2020-03-28T08:52:18Z,NA
7376,runIncidenceRate,a2858c94d28031fd8dcac12121a8fb43,2020-03-28T08:52:18Z,NA
7361,runIncidenceRate,3e79f89c1b6d59013d19b5a0d899453f,2020-03-28T08:52:18Z,NA
7362,runIncidenceRate,ac178c8f7f888dd9f2ca5c61c5bdfe90,2020-03-28T08:52:18Z,NA
7370,runIncidenceRate,f4a873182b5d713b85ebaea9c91d2549,2020-03-28T08:52:18Z,NA
