count_value,min_value,max_value,average_value,standard_deviation,median_value,p_10_value,p_25_value,p_75_value,p_90_value,time_metric,cohort_id,database_id
7,2,1813,976.4285714285714,733.7288002940544,1261,2,45,1631,1813,observation time (days) prior to index,185,PREMIER
31,7,191,18.451612903225808,37.91819150898191,7,7,7,7,12,time (days) between cohort start and end,186,PREMIER
31,0,2920,212.06451612903226,534.3186898898366,26,0,13,197,407,observation time (days) after index,186,PREMIER
31,0,3286,960.9032258064516,1185.1198632723108,228,0,1,2072,2812,observation time (days) prior to index,186,PREMIER
7,7,39,14.714285714285714,12.243560017607702,7,7,7,23,39,time (days) between cohort start and end,187,PREMIER
7,5,733,254.42857142857142,295.7391063887545,52,5,30,542,733,observation time (days) after index,187,PREMIER
7,0,444,145.57142857142858,186.1261732829437,45,0,0,357,444,observation time (days) prior to index,187,PREMIER
5,0,0,0,0,0,0,0,0,0,time (days) between cohort start and end,188,PREMIER
5,0,0,0,0,0,0,0,0,0,observation time (days) after index,188,PREMIER
5,0,2824,1039.6,1409.1175607450216,53,0,4,2317,2824,observation time (days) prior to index,188,PREMIER
1,29,29,29,0,29,29,29,29,29,time (days) between cohort start and end,189,PREMIER
1,36,36,36,0,36,36,36,36,36,observation time (days) after index,189,PREMIER
1,1,1,1,0,1,1,1,1,1,observation time (days) prior to index,189,PREMIER
21,7,114,15.952380952380953,28.159325614219156,7,7,7,7,10,time (days) between cohort start and end,190,PREMIER
21,0,2920,238.52380952380952,628.7915090908607,26,9,13,185,380,observation time (days) after index,190,PREMIER
21,0,3286,1170.904761904762,1290.1714190277935,282,0,1,2188,2931,observation time (days) prior to index,190,PREMIER
15,7,85,12.4,20.099040488825047,7,7,7,7,10,time (days) between cohort start and end,191,PREMIER
15,9,2920,298.2,740.2062646895893,26,11,13,255,470,observation time (days) after index,191,PREMIER
15,0,3286,1201.2666666666667,1339.2250673252727,282,0,1,2568,3134,observation time (days) prior to index,191,PREMIER
2,7,7,7,0,7,7,7,7,7,time (days) between cohort start and end,192,PREMIER
2,22,102,62,56.568542494923804,22,22,22,102,102,observation time (days) after index,192,PREMIER
2,0,2188,1094,1547.149637236166,0,0,0,2188,2188,observation time (days) prior to index,192,PREMIER
3,7,12,8.666666666666666,2.8867513459481287,7,7,7,12,12,time (days) between cohort start and end,193,PREMIER
3,13,407,170.33333333333334,208.6368455794262,91,13,13,407,407,observation time (days) after index,193,PREMIER
3,17,1099,483,556.3775696413363,333,17,17,1099,1099,observation time (days) prior to index,193,PREMIER
24,1,33,4.75,9.013275233497676,1,1,1,1,17,time (days) between cohort start and end,194,PREMIER
24,5,2608,273.25,543.1941161556216,59,10,22,208,716,observation time (days) after index,194,PREMIER
24,0,2188,292.4166666666667,577.1217878152015,45,0,1,172,769,observation time (days) prior to index,194,PREMIER
1,20,20,20,0,20,20,20,20,20,time (days) between cohort start and end,195,PREMIER
1,20,20,20,0,20,20,20,20,20,observation time (days) after index,195,PREMIER
1,1086,1086,1086,0,1086,1086,1086,1086,1086,observation time (days) prior to index,195,PREMIER
2,1,16,8.5,10.606601717798213,1,1,1,16,16,time (days) between cohort start and end,197,PREMIER
2,1,16,8.5,10.606601717798213,1,1,1,16,16,observation time (days) after index,197,PREMIER
2,0,126,63,89.09545442950498,0,0,0,126,126,observation time (days) prior to index,197,PREMIER
10,3,18,7.6,6.1137368096588665,3,3,3,14,14,time (days) between cohort start and end,198,PREMIER
10,10,191,62.2,64.71956599222698,22,10,13,103,140,observation time (days) after index,198,PREMIER
10,0,548,98.7,169.7632665409884,1,0,0,118,179,observation time (days) prior to index,198,PREMIER
