count_value,min_value,max_value,average_value,standard_deviation,median_value,p_10_value,p_25_value,p_75_value,p_90_value,time_metric,cohort_id,database_id
44,27,5508,1116.6818181818182,1357.0456072390677,487,104,157,1622,3378,observation time (days) after index,187,PREMIER
44,0,6090,2581.0227272727275,1953.0009167603603,2644,0,371,3862,5630,observation time (days) prior to index,187,PREMIER
3,0,53,17.666666666666668,30.599564267050166,0,0,0,53,53,time (days) between cohort start and end,188,PREMIER
3,0,53,17.666666666666668,30.599564267050166,0,0,0,53,53,observation time (days) after index,188,PREMIER
3,9,6357,2125,3665.0195088157443,9,9,9,6357,6357,observation time (days) prior to index,188,PREMIER
26,7,40,8.692307692307692,6.739550315973497,7,7,7,7,7,time (days) between cohort start and end,189,PREMIER
26,23,4727,1667.423076923077,1160.3963520479344,1560,571,810,1882,3441,observation time (days) after index,189,PREMIER
26,0,5915,3160.5,1772.018538277746,3403,0,2039,4545,5478,observation time (days) prior to index,189,PREMIER
107,7,388,14.411214953271028,41.29826011023472,7,7,7,7,8,time (days) between cohort start and end,190,PREMIER
107,0,5447,1175.785046728972,1471.4312441257268,594,6,54,1611,3672,observation time (days) after index,190,PREMIER
107,0,6403,2353.504672897196,2125.874804944711,1948,0,37,4307,5221,observation time (days) prior to index,190,PREMIER
74,7,388,14.905405405405405,46.65265674471546,7,7,7,7,8,time (days) between cohort start and end,191,PREMIER
74,1,5203,1298.337837837838,1448.2963943702773,797,12,87,1658,3672,observation time (days) after index,191,PREMIER
74,0,6213,2613.0675675675675,2088.150320857043,2447,0,478,4487,5303,observation time (days) prior to index,191,PREMIER
17,7,35,10.588235294117647,9.117694497030293,7,7,7,7,34,time (days) between cohort start and end,192,PREMIER
17,6,5264,853.4117647058823,1349.0374836723186,107,7,13,1315,2310,observation time (days) after index,192,PREMIER
17,0,6403,1608.235294117647,2067.9815197860135,711,0,0,2931,5221,observation time (days) prior to index,192,PREMIER
38,7,171,16.342105263157894,34.359212396810854,7,7,7,7,7,time (days) between cohort start and end,193,PREMIER
38,10,4576,1311.8947368421052,1175.9630622410443,1044,18,415,1882,3042,observation time (days) after index,193,PREMIER
38,0,6411,2286.7105263157896,2120.9365334222334,1820,0,123,4176,5389,observation time (days) prior to index,193,PREMIER
131,1,29,1.5648854961832062,3.6291538251757833,1,1,1,1,1,time (days) between cohort start and end,194,PREMIER
131,0,5508,1628.3893129770993,1604.0343731810885,1223,21,243,2372,4357,observation time (days) after index,194,PREMIER
131,0,6403,2016.5801526717557,2039.7217267000624,1271,0,135,3646,5020,observation time (days) prior to index,194,PREMIER
17,19,5191,2894.0588235294117,1667.74239132533,3339,340,1609,4141,5116,time (days) between cohort start and end,195,PREMIER
17,19,5191,2894.0588235294117,1667.74239132533,3339,340,1609,4141,5116,observation time (days) after index,195,PREMIER
17,442,4268,2558.470588235294,1085.8520339833979,2885,1013,1917,3311,3912,observation time (days) prior to index,195,PREMIER
